邕	
郡	君
郝	赤
郢	呈
酒	酉
配	己
酌	勺
釘	
針	
釗	
釜	父
釙	卜
閃	
院	完
陣	
陡	走
陛	坒
陝	
除	余
陘	巠
陞	升
隻	
飢	几
馬	
骨	
高	
鬥	
鬲	
鬼	
乾	
偺	
偽	為
停	亭
假	叚
偃	匽
偌	若
做	
偉	韋
健	建
偶	禺
偎	畏
偕	皆
偵	貞
側	則
偷	
偏	扁
倏	
偯	
偭	面
兜	
冕	免
凰	皇
剪	前
副	畐
勒	力
務	
勘	甚
動	重
匐	
匏	包
匙	是
匿	若
區	
匾	扁
參	
曼	
商	
啪	拍
啦	拉
啄	豖
啞	亞
啡	非
啃	肯
啊	阿
唱	昌
啖	炎
問	
啕	
唯	隹
啤	卑
唸	念
售	
啜	
唬	虎
啣	卸
唳	戾
啁	周
啗	
圈	卷
國	
圉	
域	或
堅	
堊	亞
堆	隹
埠	阜
埤	卑
基	其
堂	尚
堵	者
執	幸
培	咅
夠	句
奢	者
娶	取
婁	
婉	宛
婦	
婪	林
婀	阿
娼	昌
婢	卑
婚	昏
婆	波
婊	表
孰	
寇	
寅	
寄	奇
寂	叔
宿	
密	宓
尉	
專	
將	
屠	者
屜	
屝	非
崇	宗
崆	空
崎	奇
崛	屈
崖	厓
崢	爭
崑	昆
崩	朋
崔	隹
崙	侖
崤	肴
崧	松
崗	岡
巢	
常	尚
帶	
帳	長
帷	隹
康	
庸	
庶	
庵	奄
庾	臾
張	長
強	
彗	
彬	
彩	采
彫	周
得	
徙	止
從	
徘	非
御	御
徠	來
徜	尚
恿	甬
患	串
悉	
悠	攸
您	你
惋	宛
悴	卒
惦	店
悽	妻
情	青
悻	幸
悵	長
惜	昔
悼	卓
惘	罔
惕	易
惆	周
惟	隹
悸	季
惚	忽
惇	享
戚	尗
戛	
扈	戶
掠	京
控	空
捲	卷
掖	夜
探	
接	妾
捷	疌
捧	奉
掘	屈
措	昔
捱	
掩	奄
掉	卓
掃	
掛	卦
捫	門
推	隹
掄	侖
授	受
掙	爭
採	采
掬	匊
排	非
掏	匋
掀	欣
